pais,continente,subregion,capital
Ivory Coast,Africa,Western Africa,Yamoussoukro
Italy,Europe,Southern Europe,Rome
Kyrgyzstan,Asia,Central Asia,Bishkek
Papua New Guinea,Oceania,Melanesia,Port Moresby
Fiji,Oceania,Melanesia,Suva
United Arab Emirates,Asia,Western Asia,Abu Dhabi
Saint Kitts and Nevis,Americas,Caribbean,Basseterre
French Guiana,Americas,South America,Cayenne
Tanzania,Africa,Eastern Africa,Dodoma
Angola,Africa,Middle Africa,Luanda
Togo,Africa,Western Africa,Lomé
Finland,Europe,Northern Europe,Helsinki
Malawi,Africa,Eastern Africa,Lilongwe
Mali,Africa,Western Africa,Bamako
Uzbekistan,Asia,Central Asia,Tashkent
Senegal,Africa,Western Africa,Dakar
Uganda,Africa,Eastern Africa,Kampala
Djibouti,Africa,Eastern Africa,Djibouti
South Sudan,Africa,Middle Africa,Juba
Jersey,Europe,Northern Europe,Saint Helier
Tuvalu,Oceania,Polynesia,Funafuti
Japan,Asia,Eastern Asia,Tokyo
Oman,Asia,Western Asia,Muscat
Belgium,Europe,Western Europe,Brussels
Saint Martin,Americas,Caribbean,Marigot
Mayotte,Africa,Eastern Africa,Mamoudzou
France,Europe,Western Europe,Paris
Bulgaria,Europe,Southeast Europe,Sofia
Cyprus,Europe,Southern Europe,Nicosia
South Korea,Asia,Eastern Asia,Seoul
Mexico,Americas,North America,Mexico City
North Macedonia,Europe,Southeast Europe,Skopje
Guyana,Americas,South America,Georgetown
Kosovo,Europe,Southeast Europe,Pristina
Morocco,Africa,Northern Africa,Rabat
Gibraltar,Europe,Southern Europe,Gibraltar
Western Sahara,Africa,Northern Africa,El Aaiún
Andorra,Europe,Southern Europe,Andorra la Vella
Palau,Oceania,Micronesia,Ngerulmud
Guinea,Africa,Western Africa,Conakry
Turks and Caicos Islands,Americas,Caribbean,Cockburn Town
Saudi Arabia,Asia,Western Asia,Riyadh
Botswana,Africa,Southern Africa,Gaborone
Comoros,Africa,Eastern Africa,Moroni
Belize,Americas,Central America,Belmopan
Cambodia,Asia,South-Eastern Asia,Phnom Penh
Saint Lucia,Americas,Caribbean,Castries
Mauritania,Africa,Western Africa,Nouakchott
Jamaica,Americas,Caribbean,Kingston
Cape Verde,Africa,Western Africa,Praia
Marshall Islands,Oceania,Micronesia,Majuro
Namibia,Africa,Southern Africa,Windhoek
Iran,Asia,Southern Asia,Tehran
Wallis and Futuna,Oceania,Polynesia,Mata-Utu
Azerbaijan,Asia,Western Asia,Baku
Niger,Africa,Western Africa,Niamey
Heard Island and McDonald Islands,Antarctic,,
Laos,Asia,South-Eastern Asia,Vientiane
Burkina Faso,Africa,Western Africa,Ouagadougou
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,West Island
Luxembourg,Europe,Western Europe,Luxembourg
Indonesia,Asia,South-Eastern Asia,Jakarta
Lebanon,Asia,Western Asia,Beirut
Turkey,Asia,Western Asia,Ankara
Timor-Leste,Asia,South-Eastern Asia,Dili
Zimbabwe,Africa,Southern Africa,Harare
South Africa,Africa,Southern Africa,Pretoria
Armenia,Asia,Western Asia,Yerevan
Ireland,Europe,Northern Europe,Dublin
Norway,Europe,Northern Europe,Oslo
Kenya,Africa,Eastern Africa,Nairobi
North Korea,Asia,Eastern Asia,Pyongyang
Afghanistan,Asia,Southern Asia,Kabul
Bermuda,Americas,North America,Hamilton
Spain,Europe,Southern Europe,Madrid
Netherlands,Europe,Western Europe,Amsterdam
Nicaragua,Americas,Central America,Managua
Lesotho,Africa,Southern Africa,Maseru
Egypt,Africa,Northern Africa,Cairo
Gambia,Africa,Western Africa,Banjul
Brazil,Americas,South America,Brasília
Australia,Oceania,Australia and New Zealand,Canberra
Bouvet Island,Antarctic,,
