ordernumber,orderdate,quantityordered,priceeach,sales,country,customername,productline,dealsize,status,producto_id,cliente_id,continente,subregion,capital
10107,2003-02-24,30,95.7,2871.0,United States,Land of Toys Inc.,Motorcycles,Small,Shipped,1,52,Americas,North America,"Washington, D.C."
10121,2003-05-07,34,81.35,2765.9,France,Reims Collectables,Motorcycles,Small,Shipped,1,93,Europe,Western Europe,Paris
10134,2003-07-01,41,94.74,3884.34,France,Lyon Souveniers,Motorcycles,Medium,Shipped,1,15,Europe,Western Europe,Paris
10145,2003-08-25,45,83.26,3746.7,United States,Toys4GrownUps.com,Motorcycles,Medium,Shipped,1,72,Americas,North America,"Washington, D.C."
10159,2003-10-10,49,100.0,5205.27,United States,Corporate Gift Ideas Co.,Motorcycles,Medium,Shipped,1,61,Americas,North America,"Washington, D.C."
10168,2003-10-28,36,96.66,3479.76,United States,Technics Stores Inc.,Motorcycles,Medium,Shipped,1,21,Americas,North America,"Washington, D.C."
10180,2003-11-11,29,86.13,2497.77,France,Daedalus Designs Imports,Motorcycles,Small,Shipped,1,83,Europe,Western Europe,Paris
10188,2003-11-18,48,100.0,5512.32,Norway,Herkku Gifts,Motorcycles,Medium,Shipped,1,87,Europe,Northern Europe,Oslo
10201,2003-12-01,22,98.57,2168.54,United States,Mini Wheels Co.,Motorcycles,Small,Shipped,1,75,Americas,North America,"Washington, D.C."
10211,2004-01-15,41,100.0,4708.44,France,Auto Canal Petit,Motorcycles,Medium,Shipped,1,75,Europe,Western Europe,Paris
10223,2004-02-20,37,100.0,3965.66,Australia,"Australian Collectors, Co.",Motorcycles,Medium,Shipped,1,88,Oceania,Australia and New Zealand,Canberra
10237,2004-04-05,23,100.0,2333.12,United States,Vitachrome Inc.,Motorcycles,Small,Shipped,1,100,Americas,North America,"Washington, D.C."
10251,2004-05-18,28,100.0,3188.64,United States,Tekni Collectables Inc.,Motorcycles,Medium,Shipped,1,24,Americas,North America,"Washington, D.C."
10263,2004-06-28,34,100.0,3676.76,United States,Gift Depot Inc.,Motorcycles,Medium,Shipped,1,3,Americas,North America,"Washington, D.C."
10275,2004-07-23,45,92.83,4177.35,France,La Rochelle Gifts,Motorcycles,Medium,Shipped,1,22,Europe,Western Europe,Paris
10285,2004-08-27,36,100.0,4099.68,United States,Marta's Replicas Co.,Motorcycles,Medium,Shipped,1,53,Americas,North America,"Washington, D.C."
10299,2004-09-30,23,100.0,2597.39,Finland,"Toys of Finland, Co.",Motorcycles,Small,Shipped,1,2,Europe,Northern Europe,Helsinki
10309,2004-10-15,41,100.0,4394.38,Norway,Baane Mini Imports,Motorcycles,Medium,Shipped,1,88,Europe,Northern Europe,Oslo
10318,2004-11-02,46,94.74,4358.04,United States,Diecast Classics Inc.,Motorcycles,Medium,Shipped,1,30,Americas,North America,"Washington, D.C."
10329,2004-11-15,42,100.0,4396.14,United States,Land of Toys Inc.,Motorcycles,Medium,Shipped,1,38,Americas,North America,"Washington, D.C."
10341,2004-11-24,41,100.0,7737.93,Austria,Salzburg Collectables,Motorcycles,Large,Shipped,1,2,Europe,Central Europe,Vienna
10361,2004-12-17,20,72.55,1451.0,Australia,Souveniers And Things Co.,Motorcycles,Small,Shipped,1,64,Oceania,Australia and New Zealand,Canberra
10375,2005-02-03,21,34.91,733.11,France,La Rochelle Gifts,Motorcycles,Small,Shipped,1,60,Europe,Western Europe,Paris
10388,2005-03-03,42,76.36,3207.12,United States,FunGiftIdeas.com,Motorcycles,Medium,Shipped,1,21,Americas,North America,"Washington, D.C."
